SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
2016,Children overweight,13.3,13.3,1
2016,Children overweight for their age,4.5,4.5,1
2016,Children severely stunted,9.8,9.8,1
2016,Children severely underweight,1.1,1.1,1
2016,Children severely wasted,0.6,0.6,1
2016,Children stunted,27.4,27.4,1
2016,Children underweight,5.9,5.9,1
2016,Children wasted,2.5,2.5,1
2016,Mean Body Mass Index (BMI) for men,23,23,1
2016,Mean Body Mass Index (BMI) for women,28.3,28.3,1
2016,Mean height for age of children,-1.1,-1.1,1
2016,Mean weight for age of children,-0.2,-0.2,1
2016,Mean weight for height of children,0.6,0.6,1
2016,Men who are mildly thin according to BMI (17.0-18.4),7.4,7.4,1
2016,Men who are moderately thin according to BMI (<17.0),2.2,2.2,1
2016,Men who are obese according to BMI (>=30.0),7.9,7.9,1
2016,Men who are overweight according to BMI (25.0-29.9),17.2,17.2,1
2016,Men who are overweight or obese according to BMI (>=25.0),25.1,25.1,1
2016,Men who are thin according to BMI (<18.5),9.6,9.6,1
2016,Men with height below 145 cm,0.3,0.3,1
2016,Men with normal BMI (18.5-24.9),65.2,65.2,1
2016,Number of men,2769,2769,2
2016,Number of men (unweighted),2818,2818,2
2016,Number of women,3176.5,3176.5,2
2016,Number of women (unweighted),3307.5,3307.5,2
2016,Women who are mildly thin according to BMI (17.0-18.4),2.6,2.6,1
2016,Women who are moderately thin according to BMI (<17.0),0.5,0.5,1
2016,Women who are obese according to BMI (>=30.0),35.9,35.9,1
2016,Women who are overweight according to BMI (25.0-29.9),26.3,26.3,1
2016,Women who are overweight or obese according to BMI (>=25.0),62.2,62.2,1
2016,Women who are thin according to BMI (<18.5),3.1,3.1,1
2016,Women with height below 145 cm,1.5,1.5,1
2016,Women with normal BMI (18.5-24.9),34.7,34.7,1
NA,#indicator+name,NA,NA,1
