SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
1998,Number of never-married young women,3721,3721,1
1998,Number of never-married young women (unweighted),3857,3857,1
1998,Number of never-married young women who had sex in the past year,1811,1811,1
1998,Number of never-married young women who had sex in the past year (unweighted),1858,1858,1
1998,Number of sexually active young women,2343,2343,1
1998,Number of sexually active young women (unweighted),2390,2390,1
1998,Number of young women,4324,4324,1
1998,Number of young women (unweighted),4459,4459,2
1998,Number of young women age 18-24,2955,2955,1
1998,Number of young women age 18-24 (unweighted),2993,2993,1
1998,Sex before the age of 15 [Women],8,8,1
1998,Sex before the age of 18 [Women],54.5,54.5,1
1998,Young women having premarital sex in last year,48.7,48.7,1
1998,Young women never having sexual intercourse,40.3,40.3,1
1998,Young women using a condom during premarital sex,21.8,21.8,1
2016,"Age-mixing in sexual partnerships (young men age 15-24, any partner in the last 12 months)",0.1,0.1,1
2016,"Age-mixing in sexual partnerships (young women age 15-19, any partner in the last 12 months)",5.9,5.9,1
2016,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]",68.4,68.4,1
2016,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]",60,60,1
2016,Condom use at last paid sexual intercourse,83.1,83.1,1
2016,Condom use during higher-risk sex (with multiple partners) [Men],65.3,65.3,1
2016,Condom use during higher-risk sex (with multiple partners) [Women],57.6,57.6,1
2016,Cumulative prevalence of concurrent sexual partners [Men],12.1,12.1,1
2016,Cumulative prevalence of concurrent sexual partners [Women],3.1,3.1,1
2016,Ever paid for sexual intercourse,4.7,4.7,1
2016,Had concurrent sexual partners [Men],71,71,1
2016,Had concurrent sexual partners [Women],68.1,68.1,1
2016,Higher risk sex in the last year [Men],68.7,68.7,1
2016,Higher risk sex in the last year [Women],57.6,57.6,1
2016,Higher-risk Sex (with multiple partners among all respondents) [Men],17,17,1
2016,Higher-risk Sex (with multiple partners among all respondents) [Women],4.5,4.5,1
2016,Mean number of sexual partners in lifetime [Men],14.7,14.7,1
2016,Mean number of sexual partners in lifetime [Women],3.9,3.9,1
2016,Number of men,1496.6666666666667,744,3
2016,Number of men (unweighted),1499,783,3
2016,Number of men reporting sexual activity in the last 12 months,2603,2603,1
2016,Number of men reporting sexual activity in the last 12 months (unweighted),2532,2532,1
2016,Number of men who ever had sexual intercourse,2488,2488,1
2016,Number of men who ever had sexual intercourse (unweighted),2467,2467,1
2016,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months",1787,1787,1
2016,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",1799,1799,1
2016,Number of men who paid for sex in the last 12 months,92,92,1
2016,Number of men who paid for sex in the last 12 months (unweighted),86,86,1
2016,Number of men with multiple partners in the 12 months preceding the survey,544,544,1
2016,Number of men with multiple partners in the 12 months preceding the survey (unweighted),535,535,1
2016,Number of never-married men,1191,1191,1
2016,Number of never-married men (unweighted),1268,1268,1
2016,Number of never-married young women,2508,2508,1
2016,Number of never-married young women (unweighted),2621,2621,1
2016,Number of never-married young women who had sex in the past year,1431,1431,1
2016,Number of never-married young women who had sex in the past year (unweighted),1471,1471,1
2016,Number of sexually active young men,788,788,1
2016,Number of sexually active young men (unweighted),820,820,1
2016,Number of sexually active young women,1757,1757,1
2016,Number of sexually active young women (unweighted),1754,1754,1
2016,Number of women,4450.5,4450.5,2
2016,Number of women (unweighted),4454,4454,2
2016,Number of women reporting sexual activity in the last 12 months,6586,6586,1
2016,Number of women reporting sexual activity in the last 12 months (unweighted),6489,6489,1
2016,Number of women who ever had sexual intercourse,7205,7205,1
2016,Number of women who ever had sexual intercourse (unweighted),7182,7182,1
2016,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months",3793,3793,1
2016,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",3866,3866,1
2016,Number of women with multiple partners in the 12 months preceding the survey,387,387,1
2016,Number of women with multiple partners in the 12 months preceding the survey (unweighted),394,394,1
2016,Number of young men,592.6666666666666,287,3
2016,Number of young men (unweighted),791.5,807.5,4
2016,Number of young men age 18-24,848,848,1
2016,Number of young men age 18-24 (unweighted),888,888,1
2016,Number of young women,1183,575,3
2016,Number of young women (unweighted),1783,2033,4
2016,Number of young women age 18-24,1984,1984,1
2016,Number of young women age 18-24 (unweighted),1995,1995,1
2016,Paid for sexual intercourse in the past 12 months,2.9,2.9,1
2016,Point prevalence of concurrent sexual partners [Men],4.7,4.7,1
2016,Point prevalence of concurrent sexual partners [Women],1.5,1.5,1
2016,Sex before the age of 15 [Men],14.6,14.6,1
2016,Sex before the age of 15 [Women],6.1,6.1,1
2016,Sex before the age of 18 [Men],66.2,66.2,1
2016,Sex before the age of 18 [Women],50.3,50.3,1
2016,Sexually active young men having multiple partners in last year,32.4,32.4,1
2016,Sexually active young women having multiple partners in last year,7.5,7.5,1
2016,Young men having multiple partners in last year,20.7,20.7,1
2016,Young men having premarital sex in last year,62.5,62.5,1
2016,Young men never having sexual intercourse,30.7,30.7,1
2016,Young men using a condom at last sexual intercourse,72.9,72.9,1
2016,Young men using a condom during premarital sex,75.9,75.9,1
2016,Young women having multiple partners in last year,4.6,4.6,1
2016,Young women having premarital sex in last year,57.1,57.1,1
2016,Young women never having sexual intercourse,37.4,37.4,1
2016,Young women using a condom at last sexual intercourse,61.4,61.4,1
2016,Young women using a condom during premarital sex,62.7,62.7,1
NA,#indicator+name,NA,NA,1
