SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
1998,BCG vaccination received,96.16666666666667,96.8,3
1998,BCG vaccination received in first year,94.1,94.1,1
1998,DPT 1 vaccination received,93.23333333333333,93.3,3
1998,DPT 1 vaccination received in first year,91.1,91.1,1
1998,DPT 2 vaccination received,84.93333333333334,86.2,3
1998,DPT 2 vaccination received in first year,80.4,80.4,1
1998,DPT 3 vaccination received,75.53333333333333,76.4,3
1998,DPT 3 vaccination received in first year,70.5,70.5,1
1998,Fully vaccinated (8 basic antigens),54.825,63,4
1998,Measles vaccination received,84,82.2,3
1998,Measles vaccination received in first year,40.2,40.2,1
1998,Number of children 12-23 months,959.6666666666666,973,3
1998,Number of children 12-23 months (unweighted),964.3333333333334,971,3
1998,Number of children one to four years of age,3734,3734,1
1998,Number of children one to four years of age (unweighted),3761,3761,1
1998,Percentage showing a vaccination card,61.8,61.8,1
1998,Polio 0 vaccination received,90.03333333333333,91.2,3
1998,Polio 0 vaccination received in first year,84.7,84.7,1
1998,Polio 1 vaccination received,90.33333333333333,91,3
1998,Polio 1 vaccination received in first year,87.3,87.3,1
1998,Polio 2 vaccination received,81.8,82.7,3
1998,Polio 2 vaccination received in first year,78,78,1
1998,Polio 3 vaccination received,70.83333333333333,72.1,3
1998,Polio 3 vaccination received in first year,62.7,62.7,1
1998,Received no vaccinations,2.7666666666666666,2.2,3
1998,Received no vaccinations in first year,15.2,15.2,1
2016,BCG vaccination received,92.16666666666667,92.5,3
2016,BCG vaccination received in first year,91.4,91.4,1
2016,DPT 1 vaccination received,89.96666666666667,91.2,3
2016,DPT 1 vaccination received in first year,88.5,88.5,1
2016,DPT 2 vaccination received,73.86666666666666,75.3,3
2016,DPT 2 vaccination received in first year,72.7,72.7,1
2016,DPT 3 vaccination received,64.36666666666667,64.9,3
2016,DPT 3 vaccination received in first year,63.3,63.3,1
2016,Fully vaccinated (8 basic antigens),60.050000000000004,61.150000000000006,4
2016,Haemophilus influenza type b 1 vaccination received,89.96666666666667,91.2,3
2016,Haemophilus influenza type b 2 vaccination received,73.86666666666666,75.3,3
2016,Haemophilus influenza type b 3 vaccination received,64.36666666666667,64.9,3
2016,Hepatitis 1 vaccination received,89.13333333333334,90.2,3
2016,Hepatitis 2 vaccination received,72.8,73.4,3
2016,Hepatitis 3 vaccination received,65.26666666666667,65,3
2016,Measles vaccination received,85.53333333333333,86.1,3
2016,Measles vaccination received in first year,79.7,79.7,1
2016,Number of children 12-23 months,671.3333333333334,677,3
2016,Number of children 12-23 months (unweighted),672,670,3
2016,Number of children one to four years of age,1337,1337,1
2016,Number of children one to four years of age (unweighted),1346,1346,1
2016,Percentage showing a vaccination card,63.7,63.7,1
2016,Polio 0 vaccination received,90.96666666666667,92.3,3
2016,Polio 0 vaccination received in first year,89.9,89.9,1
2016,Polio 1 vaccination received,76.83333333333333,78.1,3
2016,Polio 1 vaccination received in first year,75.9,75.9,1
2016,Received no vaccinations,6.133333333333333,5.3,3
2016,Received no vaccinations in first year,8.9,8.9,1
NA,#indicator+name,NA,NA,1
