SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
1998,Children breastfeeding and consuming complementary foods,40.9,40.9,1
1998,Children breastfeeding and consuming plain water only,6.3,6.3,1
1998,Children currently breastfeeding,83.4,83.4,1
1998,Children ever breastfed,87.4,87.4,1
1998,Children exclusively breastfed,6.9,6.9,1
1998,Children using a bottle with a nipple,59.4,59.4,1
1998,Children who started breastfeeding within 1 hour of birth,38.9,38.9,1
1998,Median duration of any breastfeeding,16,16,1
2016,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,11.2,11.2,1
2016,Children 6-23 months fed 5+ food groups,39.9,39.9,1
2016,Children 6-23 months fed the minimum meal frequency,50.2,50.2,1
2016,Children 6-23 months with 3 IYCF practices,22.5,22.5,1
2016,Children breastfeeding and consuming complementary foods,17.6,17.6,1
2016,Children breastfeeding and consuming plain water only,13.6,13.6,1
2016,Children currently breastfeeding,74.8,74.8,1
2016,Children ever breastfed,84,84,1
2016,Children exclusively breastfed,31.6,31.6,1
2016,Children using a bottle with a nipple,44.7,44.7,1
2016,Children who started breastfeeding within 1 hour of birth,67.3,67.3,1
2016,Median duration of any breastfeeding,10.7,10.7,1
2016,Non-breastfed children 6-23 months fed milk or milk products,68.4,68.4,1
2016,Non-breastfed children 6-23 months with 3 IYCF practices,30.6,30.6,1
NA,#indicator+name,NA,NA,1
