SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
1998,Households total,100,100,1
1998,Households using open defecation,11.6,11.6,1
1998,Households with a bucket toilet,6,6,1
1998,Households with a pit latrine without a slab or an open pit,31.2,31.2,1
1998,Households with an improved sanitation facility,50.1,50.1,1
1998,Households with an unimproved sanitation facility,38.3,38.3,1
1998,Households with don't know or missing information on toilet facility,0.7,0.7,1
1998,Number of households,12247,12247,1
1998,Number of households (unweighted),12247,12247,1
1998,Number of persons,52007,52007,1
1998,Number of persons (unweighted),52465,52465,1
1998,Population total,100,100,1
1998,Population using open defecation,12.8,12.8,1
1998,Population with a bucket toilet,5.7,5.7,1
1998,Population with a pit latrine without a slab or an open pit,34.1,34.1,1
1998,Population with an improved sanitation facility,46.4,46.4,1
1998,Population with an unimproved sanitation facility,40.8,40.8,1
1998,Population with don't know or missing information on toilet facility,0.7,0.7,1
2016,Households total,100,100,1
2016,Households using open defecation,2.4,2.4,1
2016,Households with a bucket toilet,1.6,1.6,1
2016,Households with a composting toilet,1.1,1.1,1
2016,"Households with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,0.4,1
2016,Households with a flush or pour flush toilet to a piped sewer system,56.8,56.8,1
2016,Households with a flush or pour flush toilet to a pit latrine,1.3,1.3,1
2016,Households with a flush or pour flush toilet to a septic tank,1.7,1.7,1
2016,Households with a pit latrine with a slab,8,8,1
2016,Households with a ventilated improved pit latrine (VIP),26,26,1
2016,Households with an improved sanitation facility,95.6,95.6,1
2016,Households with an unimproved sanitation facility,2,2,1
2016,Number of households,11083,11083,1
2016,Number of households (unweighted),11083,11083,1
2016,Number of persons,37205,37205,1
2016,Number of persons (unweighted),37925,37925,1
2016,Population total,100,100,1
2016,Population using open defecation,2.2,2.2,1
2016,Population with a bucket toilet,1.4,1.4,1
2016,Population with a composting toilet,1,1,1
2016,"Population with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,0.4,1
2016,Population with a flush or pour flush toilet to a piped sewer system,54.3,54.3,1
2016,Population with a flush or pour flush toilet to a pit latrine,0.9,0.9,1
2016,Population with a flush or pour flush toilet to a septic tank,1.4,1.4,1
2016,Population with a pit latrine with a slab,9.9,9.9,1
2016,Population with a ventilated improved pit latrine (VIP),28.1,28.1,1
2016,Population with an improved sanitation facility,96,96,1
2016,Population with an unimproved sanitation facility,1.7,1.7,1
NA,#indicator+name,NA,NA,1
