SurveyYear,Indicator,mean_value,median_value,nummber_of_observations
1998,Household with unknown or missing information on round trip time to water,1.6,1.6,1
1998,Households using a public tap/standpipe,19.5,19.5,1
1998,Households using a tubewell/borehole,3,3,1
1998,Households using an improved water source,86.3,86.3,1
1998,Households using an unimproved water source,13.2,13.2,1
1998,Households using bottled water,0.1,0.1,1
1998,Households using other water source,1.4,1.4,1
1998,Households using rainwater,0.7,0.7,1
1998,Households using surface water,11.8,11.8,1
1998,Households using tanker truck,1,1,1
1998,Households using water piped into dwelling,38.9,38.9,1
1998,Households with don't know or missing information on water source,0.5,0.5,1
1998,Households with water 30 minutes or less away round trip,28.5,28.5,1
1998,Households with water more than 30 minutes away round trip,6.7,6.7,1
1998,Households with water on the premises,63.2,63.2,1
1998,Households: Total,100,100,1
1998,Number of households,12247,12247,1
1998,Number of households (unweighted),12247,12247,1
1998,Number of persons,52007,52007,1
1998,Number of persons (unweighted),52465,52465,1
1998,Population using a public tap/standpipe,19.3,19.3,1
1998,Population using a tubewell/borehole,3.4,3.4,1
1998,Population using an improved water source,83.5,83.5,1
1998,Population using an unimproved water source,15.9,15.9,1
1998,Population using bottled water/demi john,0.1,0.1,1
1998,Population using other water source,1.5,1.5,1
1998,Population using rainwater,0.7,0.7,1
1998,Population using surface water,14.4,14.4,1
1998,Population using tanker truck,0.9,0.9,1
1998,Population using water piped into dwelling,36,36,1
1998,Population with don't know or missing information on water source,0.7,0.7,1
1998,Population with unknown or missing information on round trip time to water,1.7,1.7,1
1998,Population with water 30 minutes or less away round trip,29.5,29.5,1
1998,Population with water more than 30 minutes away round trip,8.4,8.4,1
1998,Population with water on the premises,60.4,60.4,1
1998,Population: Total,100,100,1
2016,Household with unknown or missing information on round trip time to water,0.6,0.6,1
2016,Households not treating water,91.9,91.9,1
2016,Households treating water by adding bleach/chlorine,1.2,1.2,1
2016,Households treating water by boiling,4.8,4.8,1
2016,Households treating water by straining through a cloth,0.1,0.1,1
2016,"Households treating water using a ceramic, sand or other filter",1.4,1.4,1
2016,Households treating water using other methods,0.7,0.7,1
2016,Households treating water using solar disinfection,0,0,1
2016,Households using a protected spring,0.3,0.3,1
2016,Households using a protected well,0.2,0.2,1
2016,Households using a public tap/standpipe,14.1,14.1,1
2016,Households using a tubewell/borehole,2.8,2.8,1
2016,Households using an appropriate treatment method,7.3,7.3,1
2016,Households using an improved water source,95.3,95.3,1
2016,Households using an unimproved water source,4.7,4.7,1
2016,Households using an unprotected spring,0.9,0.9,1
2016,Households using an unprotected well water,1.3,1.3,1
2016,Households using bottled water,0.9,0.9,1
2016,Households using other water source,0.3,0.3,1
2016,Households using rainwater,0.5,0.5,1
2016,Households using surface water,2.3,2.3,1
2016,Households using tanker truck,2.1,2.1,1
2016,Households using water piped into dwelling,45.1,45.1,1
2016,Households with missing information on treatment of water,0,0,1
2016,Households with water 30 minutes or less away round trip,16.4,16.4,1
2016,Households with water more than 30 minutes away round trip,4.5,4.5,1
2016,Households with water on the premises,78.5,78.5,1
2016,Households: Total,100,100,1
2016,Number of households,11083,11083,1
2016,Number of households (unweighted),11083,11083,1
2016,Number of persons,37205,37205,1
2016,Number of persons (unweighted),37925,37925,1
2016,Population not treating water,92.2,92.2,1
2016,Population treating water by adding bleach/chlorine,1.3,1.3,1
2016,Population treating water by boiling,4.6,4.6,1
2016,Population treating water by straining through a cloth,0,0,1
2016,"Population treating water using a ceramic, sand or other filter",1.2,1.2,1
2016,Population treating water using other methods,0.8,0.8,1
2016,Population treating water using solar disinfection,0,0,1
2016,Population using a protected spring,0.4,0.4,1
2016,Population using a protected well,0.2,0.2,1
2016,Population using a public tap/standpipe,13.6,13.6,1
2016,Population using a tubewell/borehole,2.8,2.8,1
2016,Population using an appropriate treatment method,6.9,6.9,1
2016,Population using an improved water source,93.4,93.4,1
2016,Population using an unimproved water source,6.6,6.6,1
2016,Population using an unprotected spring,1.2,1.2,1
2016,Population using an unprotected well water,1.8,1.8,1
2016,Population using bottled water/demi john,0.7,0.7,1
2016,Population using other water source,0.2,0.2,1
2016,Population using rainwater,0.5,0.5,1
2016,Population using surface water,3.4,3.4,1
2016,Population using tanker truck,2,2,1
2016,Population using water piped into dwelling,45.5,45.5,1
2016,Population with missing information on treatment of water,0,0,1
2016,Population with unknown or missing information on round trip time to water,0.6,0.6,1
2016,Population with water 30 minutes or less away round trip,16.9,16.9,1
2016,Population with water more than 30 minutes away round trip,5.8,5.8,1
2016,Population with water on the premises,76.7,76.7,1
2016,Population: Total,100,100,1
NA,#indicator+name,NA,NA,1
