DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,Value_winsorized,DenominatorWeighted_winsorized,DenominatorWeighted_log,DenominatorUnweighted_winsorized,DenominatorUnweighted_log
563770,Women with secondary or higher education,11.8,1,2016,ED_LITR_W_SCH,231233010,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWSCH,8514,11805,NA,NA,NA,11.8,8514,9.049584593096789,11805,9.376363155800634
563771,Women who can read a whole sentence,76.2,1,2016,ED_LITR_W_RDW,231233020,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWRDW,8514,11805,NA,NA,NA,76.2,8514,9.049584593096789,11805,9.376363155800634
563772,Women who can read part of a sentence,8.2,1,2016,ED_LITR_W_RDP,231233030,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWRDP,8514,11805,NA,NA,NA,8.2,8514,9.049584593096789,11805,9.376363155800634
563773,Women who cannot read at all,3.5,1,2016,ED_LITR_W_NRD,231233040,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWNRD,8514,11805,NA,NA,NA,3.5,8514,9.049584593096789,11805,9.376363155800634
563769,Women for whom no card with required language was available,0.1,1,2016,ED_LITR_W_NCD,231233050,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWNCD,8514,11805,NA,NA,NA,0.1,8514,9.049584593096789,11805,9.376363155800634
563774,Women who are blind/visually impaired,0.1,1,2016,ED_LITR_W_BLD,231233060,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWBLD,8514,11805,NA,NA,NA,0.1,8514,9.049584593096789,11805,9.376363155800634
563775,Women's literacy: Total,100,1,2016,ED_LITR_W_TOT,231233080,T,10000,Total 15-49,Total 15-49,TRUE,EDLITRWTOT,8514,11805,NA,NA,NA,100,8514,9.049584593096789,11805,9.376363155800634
563776,Women who are literate,96.3,1,2016,ED_LITR_W_LIT,231233090,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRWLIT,8514,11805,NA,NA,NA,96.3,8514,9.049584593096789,11805,9.376363155800634
569331,Number of women,8514,0,2016,ED_LITR_W_NUM,231233100,D,10000,Total 15-49,Total 15-49,TRUE,EDLITRWNUM,8514,11805,NA,NA,NA,243.175,8514,9.049584593096789,11805,9.376363155800634
354034,Number of women (unweighted),11805,0,2016,ED_LITR_W_UNW,231233110,U,10000,Total 15-49,Total 15-49,TRUE,EDLITRWUNW,8514,11805,NA,NA,NA,243.175,8514,9.049584593096789,11805,9.376363155800634
494492,Men with secondary or higher education,10.8,1,2016,ED_LITR_M_SCH,231234120,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMSCH,3202,3179,NA,NA,NA,10.8,3202,8.071843149609158,3179,8.064636475774222
494494,Men who can read a whole sentence,71.4,1,2016,ED_LITR_M_RDW,231234130,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMRDW,3202,3179,NA,NA,NA,71.4,3202,8.071843149609158,3179,8.064636475774222
494493,Men who can read part of a sentence,12.8,1,2016,ED_LITR_M_RDP,231234140,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMRDP,3202,3179,NA,NA,NA,12.8,3202,8.071843149609158,3179,8.064636475774222
494495,Men who cannot read at all,4.9,1,2016,ED_LITR_M_NRD,231234150,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMNRD,3202,3179,NA,NA,NA,4.9,3202,8.071843149609158,3179,8.064636475774222
494489,Men for whom no card with required language was available,0.1,1,2016,ED_LITR_M_NCD,231234160,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMNCD,3202,3179,NA,NA,NA,0.1,3202,8.071843149609158,3179,8.064636475774222
494490,Men who are blind/visually impaired,0,1,2016,ED_LITR_M_BLD,231234170,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMBLD,3202,3179,NA,NA,NA,0,3202,8.071843149609158,3179,8.064636475774222
494491,Men's literacy: Total,100,1,2016,ED_LITR_M_TOT,231234190,T,10000,Total 15-49,Total 15-49,TRUE,EDLITRMTOT,3202,3179,NA,NA,NA,100,3202,8.071843149609158,3179,8.064636475774222
494496,Men who are literate,94.9,1,2016,ED_LITR_M_LIT,231234200,I,10000,Total 15-49,Total 15-49,TRUE,EDLITRMLIT,3202,3179,NA,NA,NA,94.9,3202,8.071843149609158,3179,8.064636475774222
498913,Number of men,3202,0,2016,ED_LITR_M_NUM,231234210,D,10000,Total 15-49,Total 15-49,TRUE,EDLITRMNUM,3202,3179,NA,NA,NA,243.175,3202,8.071843149609158,3179,8.064636475774222
326141,Number of men (unweighted),3179,0,2016,ED_LITR_M_UNW,231234220,U,10000,Total 15-49,Total 15-49,TRUE,EDLITRMUNW,3202,3179,NA,NA,NA,243.175,3202,8.071843149609158,3179,8.064636475774222
