DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
795195,Households using an improved water source,86.3,1,1998,WS_SRCE_H_IMP,250161010,I,1000,Total,Total,TRUE,WSSRCEHIMP,12247,12247,NA,NA,NA
795196,Households using water piped into dwelling,38.9,1,1998,WS_SRCE_H_PIP,250161020,I,1000,Total,Total,TRUE,WSSRCEHPIP,12247,12247,NA,NA,NA
795198,Households using a public tap/standpipe,19.5,1,1998,WS_SRCE_H_TAP,250161030,I,1000,Total,Total,TRUE,WSSRCEHTAP,12247,12247,NA,NA,NA
795199,Households using a tubewell/borehole,3,1,1998,WS_SRCE_H_TUB,250161040,I,1000,Total,Total,TRUE,WSSRCEHTUB,12247,12247,NA,NA,NA
795212,Households using rainwater,0.7,1,1998,WS_SRCE_H_RNW,250161070,I,1000,Total,Total,TRUE,WSSRCEHRNW,12247,12247,NA,NA,NA
795201,Households using tanker truck,1,1,1998,WS_SRCE_H_TNK,250161074,I,1000,Total,Total,TRUE,WSSRCEHTNK,12247,12247,NA,NA,NA
795207,Households using bottled water,0.1,1,1998,WS_SRCE_H_BOT,250161080,I,1000,Total,Total,TRUE,WSSRCEHBOT,12247,12247,NA,NA,NA
795211,Households using an unimproved water source,13.2,1,1998,WS_SRCE_H_NIM,250161090,I,1000,Total,Total,TRUE,WSSRCEHNIM,12247,12247,NA,NA,NA
795200,Households using surface water,11.8,1,1998,WS_SRCE_H_SRF,250161130,I,1000,Total,Total,TRUE,WSSRCEHSRF,12247,12247,NA,NA,NA
795202,Households using other water source,1.4,1,1998,WS_SRCE_H_OTH,250161140,I,1000,Total,Total,TRUE,WSSRCEHOTH,12247,12247,NA,NA,NA
795208,Households with don't know or missing information on water source,0.5,1,1998,WS_SRCE_H_DKM,250161150,S,1000,Total,Total,TRUE,WSSRCEHDKM,12247,12247,NA,NA,NA
