ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,198690,Children severely stunted,9.8,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_HA3,104236010,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA3,,2016,DHS,1404,1468,,,
ZAF,198687,Children stunted,27.4,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2016,DHS,1404,1468,,,
ZAF,198688,Mean height for age of children,-1.1,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_HAM,104236030,I,1000,0,Total,Total,0,,1,1,CNNUTSCHAM,,2016,DHS,1404,1468,,,
ZAF,597227,Children severely wasted,0.6,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH3,,2016,DHS,1384,1449,,,
ZAF,597228,Children wasted,2.5,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2016,DHS,1384,1449,,,
ZAF,597229,Children overweight,13.3,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2016,DHS,1384,1449,,,
ZAF,597226,Mean weight for height of children,0.6,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WHM,104236070,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHM,,2016,DHS,1384,1449,,,
ZAF,26824,Children severely underweight,1.1,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WA3,104236080,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA3,,2016,DHS,1416,1479,,,
ZAF,26823,Children underweight,5.9,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA2,,2016,DHS,1416,1479,,,
ZAF,26825,Children overweight for their age,4.5,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WAP,104236100,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAP,,2016,DHS,1416,1479,,,
ZAF,26822,Mean weight for age of children,-0.2,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WAM,104236110,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAM,,2016,DHS,1416,1479,,,
ZAF,755680,Women with height below 145 cm,1.5,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_SHT,114563010,I,1000,0,Total,Total,0,,1,1,ANNUTSWSHT,,2016,DHS,3272,3405,,,
ZAF,759177,Number of women,3272,0,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_NM1,114563020,D,1000,0,Total,Total,0,,1,1,ANNUTSWNM1,,2016,DHS,,3405,,,
ZAF,371747,Number of women (unweighted),3405,0,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_UN1,114563030,U,1000,0,Total,Total,0,,1,1,ANNUTSWUN1,,2016,DHS,3272,,,,
ZAF,654100,Mean Body Mass Index (BMI) for women,28.3,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_BMI,114563040,I,1000,0,Total,Total,0,,1,1,ANNUTSWBMI,,2016,DHS,3081,3210,,,
ZAF,654101,Women with normal BMI (18.5-24.9),34.7,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_NRM,114563050,I,1000,0,Total,Total,0,,1,1,ANNUTSWNRM,,2016,DHS,3081,3210,,,
