ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,796527,Total fertility rate 15-49,2.9,1,ZA,South Africa,1998,ZA1998DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1998,DHS,,,,,
ZAF,795692,Married women currently using any method of contraception,56.3,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1998,DHS,5077,4948,,,
ZAF,795693,Married women currently using any modern method of contraception,55.1,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1998,DHS,5077,4948,,,
ZAF,795515,Unmet need for family planning,16.5,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1998,DHS,5077,4948,,,
ZAF,795357,Demand for family planning satisfied by modern methods,75.7,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1998,DHS,3695,3590,,,
ZAF,796657,Median age at first marriage [Women]: 25-49,24.2,1,ZA,South Africa,1998,ZA1998DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1998,DHS,,,,,
ZAF,796685,Median age at first sexual intercourse [Women]: 25-49,18.4,1,ZA,South Africa,1998,ZA1998DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2B,,1998,DHS,,,,,
ZAF,61831,Infant mortality rate,45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1998,DHS,,,38,53,
ZAF,76067,Infant mortality rate,42,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1998,DHS,,,37,48,
ZAF,26522,Under-five mortality rate,59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1998,DHS,,,50,68,
ZAF,775922,Under-five mortality rate,57,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1998,DHS,,,50,63,
ZAF,713103,Pregnancy-related mortality ratio,150,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,1998,DHS,,,77,223,
ZAF,334596,Place of delivery: Health facility,84.5,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1998,DHS,3072,3119,,,
ZAF,302268,Place of delivery: Health facility,83.4,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDHF,,1998,DHS,4992,5066,,,
ZAF,3675,Place of delivery: Health facility,85.2,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,,1998,DHS,2081,2113,,,
ZAF,796066,Fully vaccinated (8 basic antigens),63.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1998,DHS,973,971,,,
ZAF,15033,Treatment of diarrhea: Either ORS or RHF,83.1,1,ZA,South Africa,1998,ZA1998DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1998,DHS,508,523,,,
ZAF,607608,Treatment of diarrhea: Either ORS or RHF,81,1,ZA,South Africa,1998,ZA1998DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,1998,DHS,627,634,,,
ZAF,796661,Median duration of exclusive breastfeeding,0.4,1,ZA,South Africa,1998,ZA1998DHS,CN_BFDR_C_MDE,104336020,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDE,,1998,DHS,,,,,
ZAF,643532,Women with secondary or higher education,68.3,1,ZA,South Africa,1998,ZA1998DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1998,DHS,11735,11735,,,
ZAF,796453,Households with electricity,64.9,1,ZA,South Africa,1998,ZA1998DHS,HC_ELEC_H_ELC,260321010,I,1000,0,Total,Total,0,,1,1,HCELECHELC,,1998,DHS,12247,12247,,,
ZAF,115127,Total fertility rate 15-49,2.6,1,ZA,South Africa,2016,ZA2016DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2016,DHS,,,,,
ZAF,744,Married women currently using any method of contraception,54.6,1,ZA,South Africa,2016,ZA2016DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,2016,DHS,3050,2841,,,
ZAF,745,Married women currently using any modern method of contraception,54,1,ZA,South Africa,2016,ZA2016DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,2016,DHS,3050,2841,,,
ZAF,592860,Unmet need for family planning,14.9,1,ZA,South Africa,2016,ZA2016DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,2016,DHS,3050,2841,,,
ZAF,313221,Demand for family planning satisfied by modern methods,77.8,1,ZA,South Africa,2016,ZA2016DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,2016,DHS,2119,1953,,,
ZAF,227635,Median age at first sexual intercourse [Women]: 25-49,18.1,1,ZA,South Africa,2016,ZA2016DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2B,,2016,DHS,,,,,
ZAF,62500,Infant mortality rate,35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2016,DHS,,,26,44,
ZAF,67910,Infant mortality rate,43,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2016,DHS,,,35,51,
ZAF,798705,Under-five mortality rate,42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2016,DHS,,,33,51,
ZAF,66964,Under-five mortality rate,51,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2016,DHS,,,42,59,
ZAF,171595,Pregnancy-related mortality ratio,536,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2016,DHS,,,270,802,
ZAF,773982,Maternal mortality ratio,475,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_MMR,77033060,I,1000,0,Total,Total,0,,1,1,MMMMROWMMR,,2016,DHS,,,234,715,
ZAF,157345,Place of delivery: Health facility,96,1,ZA,South Africa,2016,ZA2016DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,2016,DHS,2091,2105,,,
ZAF,157336,Place of delivery: Health facility,95.9,1,ZA,South Africa,2016,ZA2016DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDHF,,2016,DHS,3572,3548,,,
ZAF,463689,Place of delivery: Health facility,96.1,1,ZA,South Africa,2016,ZA2016DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,,2016,DHS,1414,1406,,,
ZAF,509978,Fully vaccinated (8 basic antigens),61.2,1,ZA,South Africa,2016,ZA2016DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,2016,DHS,677,670,,,
ZAF,707851,Treatment of diarrhea: Either ORS or RHF,75.4,1,ZA,South Africa,2016,ZA2016DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,2016,DHS,246,256,,,
ZAF,545839,Treatment of diarrhea: Either ORS or RHF,80.5,1,ZA,South Africa,2016,ZA2016DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,2016,DHS,356,350,,,
ZAF,198687,Children stunted,27.4,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2016,DHS,1404,1468,,,
ZAF,597228,Children wasted,2.5,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2016,DHS,1384,1449,,,
ZAF,26823,Children underweight,5.9,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA2,,2016,DHS,1416,1479,,,
ZAF,198731,Median duration of exclusive breastfeeding,0.8,1,ZA,South Africa,2016,ZA2016DHS,CN_BFDR_C_MDE,104336020,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDE,,2016,DHS,,,,,
ZAF,698647,Women receiving an HIV test and receiving test results in the last 12 months,58.5,1,ZA,South Africa,2016,ZA2016DHS,HA_CPHT_W_T1R,135563070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HACPHTWT1R,,2016,DHS,8514,8514,,,
ZAF,493147,Men receiving an HIV test and receiving test results in the last 12 months,44.6,1,ZA,South Africa,2016,ZA2016DHS,HA_CPHT_M_T1R,135564160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HACPHTMT1R,,2016,DHS,3202,3179,,,
ZAF,87982,HIV prevalence among women,27.3,1,ZA,South Africa,2016,ZA2016DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2016,DHS,2485,2726,24.7,29.9,
ZAF,80224,HIV prevalence among men,14.4,1,ZA,South Africa,2016,ZA2016DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2016,DHS,2199,1863,11.5,17.3,
ZAF,76035,HIV prevalence among general population,21.2,1,ZA,South Africa,2016,ZA2016DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2016,DHS,4685,4589,19.2,23.3,
ZAF,578059,Physical or sexual violence committed by husband/partner,15.8,1,ZA,South Africa,2016,ZA2016DHS,DV_SPVL_W_POS,197433060,I,10000,10000,Total 15-49,Total 15-49,631001,Ever-married,1,0,DVSPVLWPOS,,2016,DHS,2109,2354,,,
ZAF,46433,Women with secondary or higher education,88.9,1,ZA,South Africa,2016,ZA2016DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2016,DHS,8514,11805,,,
ZAF,563776,Women who are literate,96.3,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2016,DHS,8514,11805,,,
ZAF,389262,Households with electricity,90,1,ZA,South Africa,2016,ZA2016DHS,HC_ELEC_H_ELC,260321010,I,1000,0,Total,Total,0,,1,1,HCELECHELC,,2016,DHS,11083,11083,,,
