ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,795160,Sex before the age of 15 [Women],8,1,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_A15,135763010,I,1000,0,Total,Total,0,,1,1,HAAFSYWA15,,1998,DHS,4324,4459,,,
ZAF,795161,Number of young women,4324,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_NM1,135763020,D,1000,0,Total,Total,0,,1,1,HAAFSYWNM1,,1998,DHS,,4459,,,
ZAF,796612,Number of young women (unweighted),4459,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_UN1,135763030,U,1000,0,Total,Total,0,,1,1,HAAFSYWUN1,,1998,DHS,55,,,,
ZAF,795358,Sex before the age of 18 [Women],54.5,1,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_A18,135763040,I,1000,0,Total,Total,0,,1,1,HAAFSYWA18,,1998,DHS,2955,2993,,,
ZAF,795240,Number of young women age 18-24,2955,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_NM2,135763050,D,1000,0,Total,Total,0,,1,1,HAAFSYWNM2,,1998,DHS,,2993,,,
ZAF,796631,Number of young women age 18-24 (unweighted),2993,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_UN2,135763060,U,1000,0,Total,Total,0,,1,1,HAAFSYWUN2,,1998,DHS,,,,,
ZAF,795192,Young women never having sexual intercourse,40.3,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NSX,135803010,I,1000,0,Total,Total,0,,1,1,HAPSXYWNSX,,1998,DHS,3721,3857,,,
ZAF,795191,Young women having premarital sex in last year,48.7,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_SX1,135803020,I,1000,0,Total,Total,0,,1,1,HAPSXYWSX1,,1998,DHS,3721,3857,,,
ZAF,795231,Number of never-married young women,3721,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NUM,135803030,D,1000,0,Total,Total,0,,1,1,HAPSXYWNUM,,1998,DHS,,3857,,,
ZAF,796482,Number of never-married young women (unweighted),3857,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_UNW,135803040,U,1000,0,Total,Total,0,,1,1,HAPSXYWUNW,,1998,DHS,3721,,,,
ZAF,796410,Young women using a condom during premarital sex,21.8,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_CND,135803050,I,1000,0,Total,Total,0,,1,1,HAPSXYWCND,,1998,DHS,1811,1858,,,
ZAF,796412,Number of never-married young women who had sex in the past year,1811,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NM1,135803060,D,1000,0,Total,Total,0,,1,1,HAPSXYWNM1,,1998,DHS,,1858,,,
ZAF,796531,Number of never-married young women who had sex in the past year (unweighted),1858,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_UN1,135803070,U,1000,0,Total,Total,0,,1,1,HAPSXYWUN1,,1998,DHS,1811,,,,
ZAF,795237,Number of young women,4324,0,ZA,South Africa,1998,ZA1998DHS,HA_MSPY_W_NM1,135833020,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM1,,1998,DHS,,4459,,,
ZAF,796638,Number of young women (unweighted),4459,0,ZA,South Africa,1998,ZA1998DHS,HA_MSPY_W_UN1,135833030,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN1,,1998,DHS,4324,,,,
ZAF,795149,Number of sexually active young women,2343,0,ZA,South Africa,1998,ZA1998DHS,HA_MSPY_W_NM2,135833050,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM2,,1998,DHS,,2390,,,
ZAF,796592,Number of sexually active young women (unweighted),2390,0,ZA,South Africa,1998,ZA1998DHS,HA_MSPY_W_UN2,135833060,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN2,,1998,DHS,2343,,,,
ZAF,652413,Higher risk sex in the last year [Women],57.6,1,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_HRS,135403010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWHRS,,2016,DHS,6586,6489,,,
ZAF,658950,Number of women reporting sexual activity in the last 12 months,6586,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_NM1,135403020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWNM1,,2016,DHS,,6489,,,
ZAF,341328,Number of women reporting sexual activity in the last 12 months (unweighted),6489,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_UN1,135403030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWUN1,,2016,DHS,6586,,,,
ZAF,462686,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]",60,1,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_CND,135403040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWCND,,2016,DHS,3793,3866,,,
ZAF,469008,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months",3793,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_NM2,135403050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWNM2,,2016,DHS,,3866,,,
ZAF,306992,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",3866,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_W_UN2,135403060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWUN2,,2016,DHS,3793,,,,
ZAF,596075,Higher risk sex in the last year [Men],68.7,1,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_HRS,135404070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMHRS,,2016,DHS,2603,2532,,,
ZAF,601992,Number of men reporting sexual activity in the last 12 months,2603,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_NM1,135404080,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMNM1,,2016,DHS,,2532,,,
ZAF,371076,Number of men reporting sexual activity in the last 12 months (unweighted),2532,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_UN1,135404090,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMUN1,,2016,DHS,2603,,,,
ZAF,253261,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]",68.4,1,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_CND,135404100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMCND,,2016,DHS,1787,1799,,,
ZAF,253260,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months",1787,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_NM2,135404110,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMNM2,,2016,DHS,,1799,,,
ZAF,253271,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",1799,0,ZA,South Africa,2016,ZA2016DHS,HA_HRSX_M_UN2,135404120,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMUN2,,2016,DHS,1787,,,,
ZAF,625365,Higher-risk Sex (with multiple partners among all respondents) [Women],4.5,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_2PP,135433010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPW2PP,,2016,DHS,8514,8514,,,
ZAF,629905,Number of women,8514,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_NM1,135433020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWNM1,,2016,DHS,,8514,,,
ZAF,292734,Number of women (unweighted),8514,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_UN1,135433030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWUN1,,2016,DHS,8514,,,,
ZAF,8674,Condom use during higher-risk sex (with multiple partners) [Women],57.6,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_CND,135433040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWCND,,2016,DHS,387,394,,,
ZAF,17990,Number of women,387,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_NM2,135433050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWNM2,,2016,DHS,,394,,,
ZAF,389803,Number of women (unweighted),394,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_UN2,135433060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWUN2,,2016,DHS,387,,,,
ZAF,636646,Mean number of sexual partners in lifetime [Women],3.9,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_MNP,135433070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWMNP,,2016,DHS,7205,7182,,,
ZAF,3439,Number of women who ever had sexual intercourse,7205,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_NM3,135433080,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWNM3,,2016,DHS,,7182,,,
ZAF,420759,Number of women who ever had sexual intercourse (unweighted),7182,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_W_UN3,135433090,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPWUN3,,2016,DHS,7205,,,,
ZAF,561946,Higher-risk Sex (with multiple partners among all respondents) [Men],17,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_2PP,135434100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPM2PP,,2016,DHS,3202,3179,,,
ZAF,569669,Number of men,3202,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_NM1,135434110,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMNM1,,2016,DHS,,3179,,,
ZAF,359288,Number of men (unweighted),3179,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_UN1,135434120,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMUN1,,2016,DHS,3202,,,,
ZAF,751379,Condom use during higher-risk sex (with multiple partners) [Men],65.3,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_CND,135434130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMCND,,2016,DHS,544,535,,,
ZAF,753925,Number of men,544,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_NM2,135434140,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMNM2,,2016,DHS,,535,,,
ZAF,382523,Number of men (unweighted),535,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_UN2,135434150,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMUN2,,2016,DHS,544,,,,
ZAF,570709,Mean number of sexual partners in lifetime [Men],14.7,1,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_MNP,135434160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMMNP,,2016,DHS,2488,2467,,,
ZAF,572743,Number of men who ever had sexual intercourse,2488,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_NM3,135434170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMNM3,,2016,DHS,,2467,,,
ZAF,280632,Number of men who ever had sexual intercourse (unweighted),2467,0,ZA,South Africa,2016,ZA2016DHS,HA_MSXP_M_UN3,135434180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMSXPMUN3,,2016,DHS,2488,,,,
ZAF,253258,Point prevalence of concurrent sexual partners [Women],1.5,1,ZA,South Africa,2016,ZA2016DHS,HA_CONC_W_PPV,135503010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HACONCWPPV,,2016,DHS,8514,8514,,,
ZAF,253259,Cumulative prevalence of concurrent sexual partners [Women],3.1,1,ZA,South Africa,2016,ZA2016DHS,HA_CONC_W_CPV,135503020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HACONCWCPV,,2016,DHS,8514,8514,,,
