ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,795971,Children ever breastfed,87.4,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFI_C_EVR,104266010,I,1000,0,Total,Total,0,,1,1,CNBRFICEVR,,1998,DHS,2010,2041,,,
ZAF,795973,Children who started breastfeeding within 1 hour of birth,38.9,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,1998,DHS,2010,2041,,,
ZAF,621666,Children exclusively breastfed,6.9,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1998,DHS,499,505,,,
ZAF,621667,Children breastfeeding and consuming plain water only,6.3,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFS_C_WAT,104306030,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCWAT,,1998,DHS,499,505,,,
ZAF,621670,Children breastfeeding and consuming complementary foods,40.9,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFS_C_CMP,104306060,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCCMP,,1998,DHS,499,505,,,
ZAF,621664,Children currently breastfeeding,83.4,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1998,DHS,499,505,,,
ZAF,621143,Children using a bottle with a nipple,59.4,1,ZA,South Africa,1998,ZA1998DHS,CN_BRFS_C_BNP,104306110,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBNP,,1998,DHS,505,514,,,
ZAF,796663,Median duration of any breastfeeding,16,1,ZA,South Africa,1998,ZA1998DHS,CN_BFDR_C_MDA,104336010,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDA,,1998,DHS,,,,,
ZAF,719834,Children ever breastfed,84,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFI_C_EVR,104266010,I,1000,0,Total,Total,0,,1,1,CNBRFICEVR,,2016,DHS,1386,1376,,,
ZAF,719833,Children who started breastfeeding within 1 hour of birth,67.3,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2016,DHS,1386,1376,,,
ZAF,376864,Children exclusively breastfed,31.6,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2016,DHS,345,346,,,
ZAF,376865,Children breastfeeding and consuming plain water only,13.6,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFS_C_WAT,104306030,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCWAT,,2016,DHS,345,346,,,
ZAF,376871,Children breastfeeding and consuming complementary foods,17.6,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFS_C_CMP,104306060,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCCMP,,2016,DHS,345,346,,,
ZAF,376867,Children currently breastfeeding,74.8,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2016,DHS,345,346,,,
ZAF,574102,Children using a bottle with a nipple,44.7,1,ZA,South Africa,2016,ZA2016DHS,CN_BRFS_C_BNP,104306110,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBNP,,2016,DHS,363,363,,,
