ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,563770,Women with secondary or higher education,11.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2016,DHS,8514,11805,,,
ZAF,563771,Women who can read a whole sentence,76.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2016,DHS,8514,11805,,,
ZAF,563772,Women who can read part of a sentence,8.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2016,DHS,8514,11805,,,
ZAF,563773,Women who cannot read at all,3.5,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2016,DHS,8514,11805,,,
ZAF,563769,Women for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2016,DHS,8514,11805,,,
ZAF,563774,Women who are blind/visually impaired,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWBLD,,2016,DHS,8514,11805,,,
ZAF,563775,Women's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2016,DHS,8514,11805,,,
ZAF,563776,Women who are literate,96.3,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2016,DHS,8514,11805,,,
ZAF,569331,Number of women,8514,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2016,DHS,,11805,,,
ZAF,354034,Number of women (unweighted),11805,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2016,DHS,8514,,,,
ZAF,494492,Men with secondary or higher education,10.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMSCH,,2016,DHS,3202,3179,,,
ZAF,494494,Men who can read a whole sentence,71.4,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDW,,2016,DHS,3202,3179,,,
ZAF,494493,Men who can read part of a sentence,12.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDP,,2016,DHS,3202,3179,,,
ZAF,494495,Men who cannot read at all,4.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNRD,,2016,DHS,3202,3179,,,
ZAF,494489,Men for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNCD,,2016,DHS,3202,3179,,,
ZAF,494490,Men who are blind/visually impaired,0,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_BLD,231234170,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMBLD,,2016,DHS,3202,3179,,,
ZAF,494491,Men's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_TOT,231234190,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMTOT,,2016,DHS,3202,3179,,,
ZAF,494496,Men who are literate,94.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2016,DHS,3202,3179,,,
ZAF,498913,Number of men,3202,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NUM,231234210,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNUM,,2016,DHS,,3179,,,
ZAF,326141,Number of men (unweighted),3179,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_UNW,231234220,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMUNW,,2016,DHS,3202,,,,
