ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,598577,Children with symptoms of ARI,21.9,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,,1998,DHS,2912,2958,,,
ZAF,397915,Children with symptoms of ARI,19.3,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,,1998,DHS,4740,4797,,,
ZAF,598578,Number of children born in the last five (or three) years,2912,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,,1998,DHS,,2958,,,
ZAF,384931,Number of children born in the last five (or three) years,4740,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNUM,,1998,DHS,,4797,,,
ZAF,139860,Number of children born in the last five (or three) years (unweighted),2958,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUNW,,1998,DHS,2912,,,,
ZAF,26068,Number of children born in the last five (or three) years (unweighted),4797,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUNW,,1998,DHS,4740,,,,
ZAF,450750,Children with ARI for whom advice or treatment was sought,81.9,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCADV,,1998,DHS,637,607,,,
ZAF,665172,Children with ARI for whom advice or treatment was sought,78.2,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCADV,,1998,DHS,913,862,,,
ZAF,457030,Number of children with symptoms of ARI born in the last five (or three) years,637,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNM2,,1998,DHS,,607,,,
ZAF,658945,Number of children with symptoms of ARI born in the last five (or three) years,913,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNM2,,1998,DHS,,862,,,
ZAF,320333,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),607,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UN2,93966070,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUN2,,1998,DHS,637,,,,
ZAF,32724,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),862,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UN2,93966070,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUN2,,1998,DHS,913,,,,
ZAF,550039,Children with symptoms of ARI,3.4,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,,2016,DHS,2025,2026,,,
ZAF,520801,Children with symptoms of ARI,3.1,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,,2016,DHS,3444,3413,,,
ZAF,550040,Number of children born in the last five (or three) years,2025,0,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,,2016,DHS,,2026,,,
ZAF,528550,Number of children born in the last five (or three) years,3444,0,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNUM,,2016,DHS,,3413,,,
ZAF,149150,Number of children born in the last five (or three) years (unweighted),2026,0,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUNW,,2016,DHS,2025,,,,
ZAF,439924,Number of children born in the last five (or three) years (unweighted),3413,0,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUNW,,2016,DHS,3444,,,,
ZAF,628408,Children with ARI for whom advice or treatment was sought,96.9,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCADV,,2016,DHS,68,59,,,
ZAF,701545,Children with ARI for whom advice or treatment was sought,87.6,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCADV,,2016,DHS,107,94,,,
ZAF,628407,Children with symptoms of ARI who received antibiotics,46.7,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ABI,93966050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCABI,,2016,DHS,68,59,,,
ZAF,701543,Children with symptoms of ARI who received antibiotics,42,1,ZA,South Africa,2016,ZA2016DHS,CH_ARIS_C_ABI,93966050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCABI,,2016,DHS,107,94,,,
