ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,795762,Households with an improved sanitation facility,50.1,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_IMP,250261010,I,1000,0,Total,Total,0,,1,1,WSTLETHIMP,,1998,DHS,12247,12247,,,
ZAF,795768,Households with an unimproved sanitation facility,38.3,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NIM,250261150,I,1000,0,Total,Total,0,,1,1,WSTLETHNIM,,1998,DHS,12247,12247,,,
ZAF,795760,Households with a pit latrine without a slab or an open pit,31.2,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NPT,250261180,I,1000,0,Total,Total,0,,1,1,WSTLETHNPT,,1998,DHS,12247,12247,,,
ZAF,795764,Households with a bucket toilet,6,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NBK,250261190,I,1000,0,Total,Total,0,,1,1,WSTLETHNBK,,1998,DHS,12247,12247,,,
ZAF,795765,Households using open defecation,11.6,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NFC,250261210,I,1000,0,Total,Total,0,,1,1,WSTLETHNFC,,1998,DHS,12247,12247,,,
ZAF,795766,Households with don't know or missing information on toilet facility,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_DKM,250261220,S,1000,0,Total,Total,0,,1,1,WSTLETHDKM,,1998,DHS,12247,12247,,,
ZAF,795767,Households total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_TOT,250261230,T,1000,0,Total,Total,0,,1,1,WSTLETHTOT,,1998,DHS,12247,12247,,,
ZAF,795272,Number of households,12247,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NUM,250261240,D,1000,0,Total,Total,0,,1,1,WSTLETHNUM,,1998,DHS,,12247,,,
ZAF,796598,Number of households (unweighted),12247,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_UNW,250261250,U,1000,0,Total,Total,0,,1,1,WSTLETHUNW,,1998,DHS,12247,,,,
