ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,795195,Households using an improved water source,86.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_IMP,250161010,I,1000,0,Total,Total,0,,1,1,WSSRCEHIMP,,1998,DHS,12247,12247,,,
ZAF,795196,Households using water piped into dwelling,38.9,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_PIP,250161020,I,1000,0,Total,Total,0,,1,1,WSSRCEHPIP,,1998,DHS,12247,12247,,,
ZAF,795198,Households using a public tap/standpipe,19.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TAP,250161030,I,1000,0,Total,Total,0,,1,1,WSSRCEHTAP,,1998,DHS,12247,12247,,,
ZAF,795199,Households using a tubewell/borehole,3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TUB,250161040,I,1000,0,Total,Total,0,,1,1,WSSRCEHTUB,,1998,DHS,12247,12247,,,
ZAF,795212,Households using rainwater,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_RNW,250161070,I,1000,0,Total,Total,0,,1,1,WSSRCEHRNW,,1998,DHS,12247,12247,,,
ZAF,795201,Households using tanker truck,1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TNK,250161074,I,1000,0,Total,Total,0,,1,1,WSSRCEHTNK,,1998,DHS,12247,12247,,,
ZAF,795207,Households using bottled water,0.1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_BOT,250161080,I,1000,0,Total,Total,0,,1,1,WSSRCEHBOT,,1998,DHS,12247,12247,,,
ZAF,795211,Households using an unimproved water source,13.2,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_NIM,250161090,I,1000,0,Total,Total,0,,1,1,WSSRCEHNIM,,1998,DHS,12247,12247,,,
ZAF,795200,Households using surface water,11.8,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_SRF,250161130,I,1000,0,Total,Total,0,,1,1,WSSRCEHSRF,,1998,DHS,12247,12247,,,
ZAF,795202,Households using other water source,1.4,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_OTH,250161140,I,1000,0,Total,Total,0,,1,1,WSSRCEHOTH,,1998,DHS,12247,12247,,,
ZAF,795208,Households with don't know or missing information on water source,0.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_DKM,250161150,S,1000,0,Total,Total,0,,1,1,WSSRCEHDKM,,1998,DHS,12247,12247,,,
