Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
Antenatal care provider: Doctor,28.5,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care provider: Doctor,30,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care provider: Doctor,27.3,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care provider: Nurse/midwife,66.6,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care provider: Nurse/midwife,65,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care provider: Nurse/midwife,68.4,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care provider: Traditional birth attendant,0.1,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care provider: Traditional birth attendant,0.1,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care provider: Traditional birth attendant,0.1,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care provider: Other,0.6,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care provider: Other,0.7,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care provider: Other,0.7,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care provider: Missing,1.2,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care provider: Missing,1.1,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care provider: Missing,0.9,1998,Total,Two years preceding the survey,DHS,2010,2041
No antenatal care,2.9,1998,Total,Three years preceding the survey,DHS,2871,2903
No antenatal care,3.1,1998,Total,Five years preceding the survey,DHS,4122,4148
No antenatal care,2.7,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care: Total,100,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care: Total,100,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care: Total,100,1998,Total,Two years preceding the survey,DHS,2010,2041
Antenatal care from a skilled provider,95.1,1998,Total,Three years preceding the survey,DHS,2871,2903
Antenatal care from a skilled provider,95,1998,Total,Five years preceding the survey,DHS,4122,4148
Antenatal care from a skilled provider,95.7,1998,Total,Two years preceding the survey,DHS,2010,2041
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2871,1998,Total,Three years preceding the survey,DHS,NA,2903
