Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
BCG vaccination received,96.8,1998,Source of vaccination information,12-23,DHS,973,971
BCG vaccination received,94.9,1998,Source of vaccination information,24-35,DHS,933,951
DPT 1 vaccination received,93.3,1998,Source of vaccination information,12-23,DHS,973,971
DPT 1 vaccination received,93.1,1998,Source of vaccination information,24-35,DHS,933,951
DPT 2 vaccination received,86.2,1998,Source of vaccination information,12-23,DHS,973,971
DPT 2 vaccination received,82.4,1998,Source of vaccination information,24-35,DHS,933,951
DPT 3 vaccination received,76.4,1998,Source of vaccination information,12-23,DHS,973,971
DPT 3 vaccination received,73.8,1998,Source of vaccination information,24-35,DHS,933,951
Polio 0 vaccination received,91.2,1998,Source of vaccination information,12-23,DHS,973,971
Polio 0 vaccination received,87.7,1998,Source of vaccination information,24-35,DHS,933,951
Polio 1 vaccination received,91,1998,Source of vaccination information,12-23,DHS,973,971
Polio 1 vaccination received,89,1998,Source of vaccination information,24-35,DHS,933,951
Polio 2 vaccination received,82.7,1998,Source of vaccination information,12-23,DHS,973,971
Polio 2 vaccination received,80,1998,Source of vaccination information,24-35,DHS,933,951
Polio 3 vaccination received,72.1,1998,Source of vaccination information,12-23,DHS,973,971
Polio 3 vaccination received,68.3,1998,Source of vaccination information,24-35,DHS,933,951
Measles vaccination received,82.2,1998,Source of vaccination information,12-23,DHS,973,971
Measles vaccination received,87.6,1998,Source of vaccination information,24-35,DHS,933,951
Fully vaccinated (8 basic antigens),63.4,1998,Source of vaccination information,12-23,DHS,973,971
Fully vaccinated (8 basic antigens),62.6,1998,Source of vaccination information,24-35,DHS,933,951
Received no vaccinations,2.2,1998,Source of vaccination information,12-23,DHS,973,971
Received no vaccinations,3.9,1998,Source of vaccination information,24-35,DHS,933,951
Number of children 12-23 months,973,1998,Source of vaccination information,12-23,DHS,NA,971
Number of children 12-23 months,933,1998,Source of vaccination information,24-35,DHS,NA,951
Number of children 12-23 months (unweighted),971,1998,Source of vaccination information,12-23,DHS,973,NA
Number of children 12-23 months (unweighted),951,1998,Source of vaccination information,24-35,DHS,933,NA
BCG vaccination received,96.8,1998,Total,NA,DHS,973,971
DPT 1 vaccination received,93.3,1998,Total,NA,DHS,973,971
DPT 2 vaccination received,86.2,1998,Total,NA,DHS,973,971
DPT 3 vaccination received,76.4,1998,Total,NA,DHS,973,971
