Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
Children ever breastfed,87.4,1998,Total,NA,DHS,2010,2041
Children who started breastfeeding within 1 hour of birth,38.9,1998,Total,NA,DHS,2010,2041
Children exclusively breastfed,6.9,1998,Age in months (other groupings),NA,DHS,499,505
Children breastfeeding and consuming plain water only,6.3,1998,Age in months (other groupings),NA,DHS,499,505
Children breastfeeding and consuming complementary foods,40.9,1998,Age in months (other groupings),NA,DHS,499,505
Children currently breastfeeding,83.4,1998,Age in months (other groupings),NA,DHS,499,505
Children using a bottle with a nipple,59.4,1998,Age in months (other groupings),NA,DHS,505,514
Median duration of any breastfeeding,16,1998,Total,NA,DHS,NA,NA
Children ever breastfed,84,2016,Total,NA,DHS,1386,1376
Children who started breastfeeding within 1 hour of birth,67.3,2016,Total,NA,DHS,1386,1376
Children exclusively breastfed,31.6,2016,Age in months (other groupings),NA,DHS,345,346
Children breastfeeding and consuming plain water only,13.6,2016,Age in months (other groupings),NA,DHS,345,346
Children breastfeeding and consuming complementary foods,17.6,2016,Age in months (other groupings),NA,DHS,345,346
Children currently breastfeeding,74.8,2016,Age in months (other groupings),NA,DHS,345,346
Children using a bottle with a nipple,44.7,2016,Age in months (other groupings),NA,DHS,363,363
Median duration of any breastfeeding,10.7,2016,Total,NA,DHS,NA,NA
Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,11.2,2016,Total,NA,DHS,363,386
Non-breastfed children 6-23 months fed milk or milk products,68.4,2016,Total,NA,DHS,504,491
Non-breastfed children 6-23 months with 3 IYCF practices,30.6,2016,Total,NA,DHS,504,491
Children 6-23 months fed 5+ food groups,39.9,2016,Total,NA,DHS,867,877
Children 6-23 months fed the minimum meal frequency,50.2,2016,Total,NA,DHS,867,877
Children 6-23 months with 3 IYCF practices,22.5,2016,Total,NA,DHS,867,877
