Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
Women with secondary or higher education,11.8,2016,Total 15-49,NA,DHS,8514,11805
Women who can read a whole sentence,76.2,2016,Total 15-49,NA,DHS,8514,11805
Women who can read part of a sentence,8.2,2016,Total 15-49,NA,DHS,8514,11805
Women who cannot read at all,3.5,2016,Total 15-49,NA,DHS,8514,11805
Women for whom no card with required language was available,0.1,2016,Total 15-49,NA,DHS,8514,11805
Women who are blind/visually impaired,0.1,2016,Total 15-49,NA,DHS,8514,11805
Women's literacy: Total,100,2016,Total 15-49,NA,DHS,8514,11805
Women who are literate,96.3,2016,Total 15-49,NA,DHS,8514,11805
Number of women,8514,2016,Total 15-49,NA,DHS,NA,11805
Number of women (unweighted),11805,2016,Total 15-49,NA,DHS,8514,NA
Men with secondary or higher education,10.8,2016,Total 15-49,NA,DHS,3202,3179
Men who can read a whole sentence,71.4,2016,Total 15-49,NA,DHS,3202,3179
Men who can read part of a sentence,12.8,2016,Total 15-49,NA,DHS,3202,3179
Men who cannot read at all,4.9,2016,Total 15-49,NA,DHS,3202,3179
Men for whom no card with required language was available,0.1,2016,Total 15-49,NA,DHS,3202,3179
Men who are blind/visually impaired,0,2016,Total 15-49,NA,DHS,3202,3179
Men's literacy: Total,100,2016,Total 15-49,NA,DHS,3202,3179
Men who are literate,94.9,2016,Total 15-49,NA,DHS,3202,3179
Number of men,3202,2016,Total 15-49,NA,DHS,NA,3179
Number of men (unweighted),3179,2016,Total 15-49,NA,DHS,3202,NA
