Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
Households with an improved sanitation facility,50.1,1998,Total,NA,DHS,12247,12247
Households with an unimproved sanitation facility,38.3,1998,Total,NA,DHS,12247,12247
Households with a pit latrine without a slab or an open pit,31.2,1998,Total,NA,DHS,12247,12247
Households with a bucket toilet,6,1998,Total,NA,DHS,12247,12247
Households using open defecation,11.6,1998,Total,NA,DHS,12247,12247
Households with don't know or missing information on toilet facility,0.7,1998,Total,NA,DHS,12247,12247
Households total,100,1998,Total,NA,DHS,12247,12247
Number of households,12247,1998,Total,NA,DHS,NA,12247
Number of households (unweighted),12247,1998,Total,NA,DHS,12247,NA
Population with an improved sanitation facility,46.4,1998,Total,NA,DHS,52007,52465
Population with an unimproved sanitation facility,40.8,1998,Total,NA,DHS,52007,52465
Population with a pit latrine without a slab or an open pit,34.1,1998,Total,NA,DHS,52007,52465
Population with a bucket toilet,5.7,1998,Total,NA,DHS,52007,52465
Population using open defecation,12.8,1998,Total,NA,DHS,52007,52465
Population with don't know or missing information on toilet facility,0.7,1998,Total,NA,DHS,52007,52465
Population total,100,1998,Total,NA,DHS,52007,52465
Number of persons,52007,1998,Total,NA,DHS,NA,52465
Number of persons (unweighted),52465,1998,Total,NA,DHS,52007,NA
Households with an improved sanitation facility,95.6,2016,Total,NA,DHS,11083,11083
Households with a flush or pour flush toilet to a piped sewer system,56.8,2016,Total,NA,DHS,11083,11083
Households with a flush or pour flush toilet to a septic tank,1.7,2016,Total,NA,DHS,11083,11083
Households with a flush or pour flush toilet to a pit latrine,1.3,2016,Total,NA,DHS,11083,11083
Households with a ventilated improved pit latrine (VIP),26,2016,Total,NA,DHS,11083,11083
Households with a pit latrine with a slab,8,2016,Total,NA,DHS,11083,11083
Households with a composting toilet,1.1,2016,Total,NA,DHS,11083,11083
Households with an unimproved sanitation facility,2,2016,Total,NA,DHS,11083,11083
"Households with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,2016,Total,NA,DHS,11083,11083
Households with a bucket toilet,1.6,2016,Total,NA,DHS,11083,11083
Households using open defecation,2.4,2016,Total,NA,DHS,11083,11083
Households total,100,2016,Total,NA,DHS,11083,11083
Number of households,11083,2016,Total,NA,DHS,NA,11083
Number of households (unweighted),11083,2016,Total,NA,DHS,11083,NA
Population with an improved sanitation facility,96,2016,Total,NA,DHS,37205,37925
Population with a flush or pour flush toilet to a piped sewer system,54.3,2016,Total,NA,DHS,37205,37925
Population with a flush or pour flush toilet to a septic tank,1.4,2016,Total,NA,DHS,37205,37925
Population with a flush or pour flush toilet to a pit latrine,0.9,2016,Total,NA,DHS,37205,37925
Population with a ventilated improved pit latrine (VIP),28.1,2016,Total,NA,DHS,37205,37925
Population with a pit latrine with a slab,9.9,2016,Total,NA,DHS,37205,37925
Population with a composting toilet,1,2016,Total,NA,DHS,37205,37925
Population with an unimproved sanitation facility,1.7,2016,Total,NA,DHS,37205,37925
"Population with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,2016,Total,NA,DHS,37205,37925
Population with a bucket toilet,1.4,2016,Total,NA,DHS,37205,37925
Population using open defecation,2.2,2016,Total,NA,DHS,37205,37925
Population total,100,2016,Total,NA,DHS,37205,37925
Number of persons,37205,2016,Total,NA,DHS,NA,37925
Number of persons (unweighted),37925,2016,Total,NA,DHS,37205,NA
