Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
#indicator+name,NA,NA,NA,#indicator+label,NA,NA,NA
Households using an improved water source,86.3,1998,Total,NA,DHS,12247,12247
Households using water piped into dwelling,38.9,1998,Total,NA,DHS,12247,12247
Households using a public tap/standpipe,19.5,1998,Total,NA,DHS,12247,12247
Households using a tubewell/borehole,3,1998,Total,NA,DHS,12247,12247
Households using rainwater,0.7,1998,Total,NA,DHS,12247,12247
Households using tanker truck,1,1998,Total,NA,DHS,12247,12247
Households using bottled water,0.1,1998,Total,NA,DHS,12247,12247
Households using an unimproved water source,13.2,1998,Total,NA,DHS,12247,12247
Households using surface water,11.8,1998,Total,NA,DHS,12247,12247
Households using other water source,1.4,1998,Total,NA,DHS,12247,12247
Households with don't know or missing information on water source,0.5,1998,Total,NA,DHS,12247,12247
Households: Total,100,1998,Total,NA,DHS,12247,12247
Population using an improved water source,83.5,1998,Total,NA,DHS,52007,52465
Population using water piped into dwelling,36,1998,Total,NA,DHS,52007,52465
Population using a public tap/standpipe,19.3,1998,Total,NA,DHS,52007,52465
Population using a tubewell/borehole,3.4,1998,Total,NA,DHS,52007,52465
Population using rainwater,0.7,1998,Total,NA,DHS,52007,52465
Population using tanker truck,0.9,1998,Total,NA,DHS,52007,52465
Population using bottled water/demi john,0.1,1998,Total,NA,DHS,52007,52465
Population using an unimproved water source,15.9,1998,Total,NA,DHS,52007,52465
Population using surface water,14.4,1998,Total,NA,DHS,52007,52465
Population using other water source,1.5,1998,Total,NA,DHS,52007,52465
Population with don't know or missing information on water source,0.7,1998,Total,NA,DHS,52007,52465
Population: Total,100,1998,Total,NA,DHS,52007,52465
Households with water on the premises,63.2,1998,Total,NA,DHS,12247,12247
Households with water 30 minutes or less away round trip,28.5,1998,Total,NA,DHS,12247,12247
Households with water more than 30 minutes away round trip,6.7,1998,Total,NA,DHS,12247,12247
Household with unknown or missing information on round trip time to water,1.6,1998,Total,NA,DHS,12247,12247
Population with water on the premises,60.4,1998,Total,NA,DHS,52007,52465
Population with water 30 minutes or less away round trip,29.5,1998,Total,NA,DHS,52007,52465
Population with water more than 30 minutes away round trip,8.4,1998,Total,NA,DHS,52007,52465
Population with unknown or missing information on round trip time to water,1.7,1998,Total,NA,DHS,52007,52465
Number of households,12247,1998,Total,NA,DHS,NA,12247
Number of households (unweighted),12247,1998,Total,NA,DHS,12247,NA
Number of persons,52007,1998,Total,NA,DHS,NA,52465
Number of persons (unweighted),52465,1998,Total,NA,DHS,52007,NA
Households using an improved water source,95.3,2016,Total,NA,DHS,11083,11083
Households using water piped into dwelling,45.1,2016,Total,NA,DHS,11083,11083
Households using a public tap/standpipe,14.1,2016,Total,NA,DHS,11083,11083
Households using a tubewell/borehole,2.8,2016,Total,NA,DHS,11083,11083
Households using a protected well,0.2,2016,Total,NA,DHS,11083,11083
Households using a protected spring,0.3,2016,Total,NA,DHS,11083,11083
Households using rainwater,0.5,2016,Total,NA,DHS,11083,11083
Households using tanker truck,2.1,2016,Total,NA,DHS,11083,11083
Households using bottled water,0.9,2016,Total,NA,DHS,11083,11083
Households using an unimproved water source,4.7,2016,Total,NA,DHS,11083,11083
Households using an unprotected well water,1.3,2016,Total,NA,DHS,11083,11083
Households using an unprotected spring,0.9,2016,Total,NA,DHS,11083,11083
Households using surface water,2.3,2016,Total,NA,DHS,11083,11083
Households using other water source,0.3,2016,Total,NA,DHS,11083,11083
Households: Total,100,2016,Total,NA,DHS,11083,11083
Population using an improved water source,93.4,2016,Total,NA,DHS,37205,37925
